idArmyPhoto;photoArmyName;armyName_idArmyName
1;tow-tomb-kings.png;1
2;tow-orcs.png;2
3;tow-chaos.png;3
4;tow-beastmen.png;4
5;tow-dwarf.png;5
6;tow-empire.png;6
7;tow-kingdom-of-bretonnia.png;7
8;tow-wood-elves.png;8
9;tow-high-elves.png;9
10;tow-vampire.png;10
11;tow-lizardmen.png;11
12;tow-dark-elves.png;12
13;tow-chaos-daemon.png;13
14;tow-chaos-dwarfs.png;14
15;tow-ogre.png;15
16;tow-skaven.png;16
